employee_id,emp_name,call_date,working_hours,work_efficiency,total_break_taken_minutes,calls_attended,active_with_customer_minutes,lunch_minutes,normal_break_minutes,feedback_score,training_minutes,meeting_minutes,unwanted_break_minutes,other_work_minutes
E105,Pooja,01-03-2024,7.95,72.27,23,117,139,26,10,4.5,37,30,10,36
E101,Rahul,24-01-2024,7.64,98.54,45,110,345,29,5,4.93,28,14,2,47
E111,Vikram,20-01-2024,6.19,78.92,69,72,318,35,13,3.15,14,6,11,77
E104,Neha,06-02-2024,7.54,72.76,31,65,158,27,18,3.11,22,35,4,73
E100,Rohit,04-01-2024,8.42,87.97,84,84,264,28,6,4.88,22,13,5,39
E111,Riya,20-01-2024,7.38,88.71,66,123,164,28,15,4.06,17,55,18,12
E109,Ananya,29-02-2024,6.16,89.46,72,102,210,21,6,4.23,45,47,17,71
E105,Rahul,24-01-2024,8.36,78.02,21,106,357,32,11,3.96,18,13,15,21
E111,Simran,19-02-2024,6.6,70.45,43,91,189,32,6,3.19,27,2,10,39
E108,Arjun,18-02-2024,6.78,98.95,23,107,285,23,14,4.54,25,48,4,47
E100,Pooja,20-02-2024,6.49,77.53,38,65,249,31,12,4.49,9,52,8,69
E110,Ananya,05-02-2024,6.99,90.28,45,114,333,36,10,3.62,46,45,2,47
E110,Pooja,06-03-2024,8.27,91.2,59,41,208,21,18,3.61,3,49,7,24
E109,Sneha,19-03-2024,7.56,88.3,69,53,371,32,11,4.68,54,2,5,27
E111,Rahul,03-02-2024,6.61,79.39,62,147,191,37,11,3.14,1,21,3,61
E111,Sneha,05-02-2024,8.63,78.13,86,69,284,34,10,4.76,2,18,11,38
E102,Amit,06-01-2024,8.64,87.93,31,88,168,27,14,3.51,6,34,11,69
E111,Sneha,08-02-2024,8.61,95.98,86,51,171,34,15,4.19,54,11,15,30
E106,Amit,11-02-2024,6.72,98.4,46,129,408,20,13,4.87,15,53,9,26
E103,Simran,27-02-2024,7.35,73.18,73,83,397,39,17,4.36,30,4,13,27
E108,Amit,12-01-2024,8.95,74.64,85,72,233,29,13,3.83,9,9,12,66
E102,Ananya,03-01-2024,8.32,98.34,68,52,358,31,19,4.38,18,40,8,46
E104,Pooja,18-01-2024,6.08,92.1,35,117,252,24,11,3.69,27,32,6,69
E102,Arjun,09-02-2024,6.2,96.49,21,127,393,28,13,3.55,16,12,11,47
E106,Rohit,21-01-2024,7.39,76.08,79,137,285,27,17,4.99,27,34,4,21
E104,Sneha,15-01-2024,8.73,87.63,73,147,412,35,14,4.5,18,50,17,10
E108,Rohit,26-01-2024,7.62,91.03,49,65,362,33,7,4.29,36,31,3,67
E106,Rahul,08-01-2024,7.49,90.4,57,60,257,32,7,3.71,22,10,1,12
E101,Amit,27-03-2024,6.32,82.24,47,67,198,32,5,3.1,19,47,2,72
E103,Pooja,11-02-2024,7.97,70.46,44,87,289,24,9,3.06,12,37,11,30
E108,Neha,13-02-2024,8.47,87.49,29,139,242,35,19,4.11,12,23,2,32
E111,Riya,14-01-2024,7.14,77.59,79,79,295,30,8,4.52,42,34,3,18
E101,Ananya,18-03-2024,8.33,83.51,61,105,419,24,6,4.07,10,18,5,64
E109,Arjun,02-01-2024,8.89,98.73,59,145,201,32,13,4.68,47,5,11,28
E108,Karan,06-02-2024,6.61,81.97,61,112,206,30,7,3.07,14,39,18,71
E109,Ananya,09-03-2024,7.57,95.19,66,126,344,38,19,3.73,16,53,9,48
E104,Simran,07-02-2024,6.86,75.66,56,118,135,22,12,3.47,53,44,0,36
E101,Neha,10-02-2024,8.38,90.17,41,116,282,34,10,3.89,49,43,16,55
E103,Riya,02-03-2024,7.73,99.31,76,62,217,26,18,3.14,27,41,15,43
E111,Neha,29-02-2024,7.9,73.06,46,120,275,26,17,4.91,18,34,8,42
E111,Sneha,14-01-2024,8.39,70.25,60,87,121,25,9,3.45,3,3,8,59
E106,Amit,29-03-2024,7.19,83.01,53,41,288,22,5,4.84,21,32,8,29
E111,Arjun,24-03-2024,8.75,72.78,51,123,211,32,8,3.85,21,12,11,49
E107,Vikram,02-01-2024,7.6,92.45,85,59,300,26,7,4.97,54,55,8,67
E102,Amit,10-03-2024,6.47,97.44,31,98,350,24,5,4.11,36,35,14,40
E100,Vikram,17-01-2024,8.09,83.02,59,85,267,37,16,4.86,38,53,1,47
E103,Rohit,29-03-2024,8.38,77.76,29,42,399,27,19,3.01,33,42,10,54
E101,Riya,28-01-2024,6.95,83.03,67,94,308,36,9,4.5,32,18,10,50
E107,Pooja,06-03-2024,8.57,91.7,39,51,247,39,10,4.81,43,42,7,18
E103,Karan,04-02-2024,8.72,70.27,58,79,126,20,6,3.28,41,11,5,18
E101,Rahul,05-01-2024,6.83,87.68,79,105,166,33,19,3.19,39,10,19,72
E105,Amit,05-03-2024,8.95,88.4,85,139,172,36,18,3.85,32,5,6,31
E105,Arjun,09-02-2024,6.42,89.13,84,117,306,29,7,4.87,11,11,2,25
E109,Simran,16-03-2024,6.61,77.26,70,55,157,31,15,4.08,1,26,7,41
E103,Simran,25-02-2024,6.55,91.42,55,122,345,35,18,4.05,58,40,17,75
E105,Neha,05-02-2024,8.68,72.74,43,73,172,33,19,3.28,27,24,16,23
E101,Arjun,14-02-2024,7.96,75.98,46,83,343,35,10,3,9,41,10,47
E109,Riya,23-01-2024,6.46,96.32,21,149,273,27,8,4.62,21,2,1,17
E111,Rohit,16-02-2024,7.32,92.16,50,45,167,29,13,3.18,16,2,18,30
E101,Vikram,31-01-2024,7.85,70.41,76,116,266,36,9,4.27,25,19,6,65
E109,Neha,11-01-2024,6.25,77.45,85,103,183,37,8,4.83,2,27,17,55
E103,Simran,10-01-2024,8.65,76.43,48,139,301,39,6,3.42,6,22,7,52
E107,Rahul,07-03-2024,8.41,78.12,34,61,244,35,10,4.33,43,47,13,55
E106,Rahul,14-01-2024,7.52,77.43,31,57,298,36,14,3.16,7,2,6,57
E111,Amit,20-03-2024,8.9,71.88,47,51,158,35,6,4.21,19,41,3,79
E108,Riya,14-03-2024,7.25,83.77,43,91,379,38,16,3.33,11,23,16,40
E107,Pooja,10-01-2024,8.95,91.98,40,157,122,27,17,4.47,34,42,4,42
E104,Simran,16-03-2024,8,88.2,29,133,183,25,11,3.6,16,39,11,53
E101,Riya,01-01-2024,7.9,90.19,37,156,148,25,7,3.93,27,5,8,17
E104,Rohit,05-01-2024,6.5,72.43,33,90,130,28,13,4.2,40,19,19,11
E107,Vikram,20-01-2024,8.65,98.54,53,143,216,23,15,3.34,9,10,12,26
E109,Arjun,08-01-2024,7.28,95.15,77,110,322,31,9,4.48,21,31,17,61
E108,Simran,12-02-2024,6.49,94.15,41,135,140,31,12,3.61,37,59,19,54
E111,Rahul,16-03-2024,6.04,94.69,89,87,158,36,15,4.32,56,26,8,46
E111,Arjun,01-01-2024,7.68,97.98,55,58,342,34,10,3.32,32,20,3,51
E111,Arjun,26-02-2024,7.58,86.33,64,45,221,28,18,4.38,21,43,7,53
E108,Arjun,04-03-2024,8.16,76.01,55,123,165,26,16,3.26,43,47,0,47
E100,Rahul,24-03-2024,8.67,88.5,41,66,185,29,14,3.85,36,49,16,15
E108,Rohit,28-01-2024,6.24,92.29,80,92,210,35,12,3.49,12,12,8,77
E106,Ananya,06-02-2024,8.19,92.14,75,146,283,31,17,4.5,26,21,19,60
E108,Sneha,16-02-2024,6.56,85.64,52,140,230,26,17,3.52,14,34,12,44
E107,Vikram,16-03-2024,8.57,72.05,64,87,242,37,15,4.76,21,46,1,67
E100,Ananya,06-02-2024,8.46,81.13,55,46,312,34,16,4.78,29,21,12,66
E111,Vikram,18-02-2024,7.62,97.62,39,98,218,25,7,3.39,42,27,8,15
E107,Neha,13-02-2024,8.13,87.53,37,108,410,31,7,4.23,39,20,19,22
E107,Riya,25-02-2024,6.94,86.15,57,50,278,30,9,3.18,36,45,5,68
E110,Riya,28-01-2024,7.41,78.07,86,54,222,39,15,3.78,33,17,0,39
E102,Karan,19-03-2024,8.46,81.05,42,103,400,22,14,4.43,43,30,4,11
E100,Riya,06-01-2024,7.38,96.86,35,42,162,21,7,4.32,59,59,2,67
E107,Rahul,01-03-2024,7.07,89.99,78,108,203,25,12,4.25,33,45,3,45
E102,Pooja,20-01-2024,7.48,93.62,88,62,310,24,14,3.57,57,36,0,54
E102,Amit,18-03-2024,8.48,83.63,87,92,170,37,17,3.76,47,20,13,18
E100,Karan,02-01-2024,7.01,88.91,40,76,329,35,16,3.21,52,13,8,74
E110,Amit,13-03-2024,6.52,77.45,89,48,245,27,18,4.44,34,24,3,59
E104,Vikram,06-02-2024,8.14,91.16,31,54,188,39,12,4.01,41,26,17,41
E109,Amit,20-01-2024,8.48,82.83,35,42,384,30,6,4.42,18,39,13,52
E106,Amit,26-01-2024,6.3,83.28,33,132,377,29,16,3.5,7,59,3,63
E109,Karan,29-01-2024,6.72,89.48,80,109,307,31,8,3.65,38,59,9,56
E108,Neha,01-01-2024,6.43,98.09,65,56,349,25,14,3.67,32,22,2,23
E111,Arjun,04-02-2024,7.04,71.92,51,65,308,39,17,3.05,43,30,6,57
E106,Riya,10-03-2024,7.35,94.74,34,60,129,24,5,3.68,27,46,9,64
E108,Riya,28-02-2024,8.25,78.77,63,111,233,28,8,4.61,36,59,12,38
E107,Rahul,09-03-2024,7.95,83.32,36,60,195,35,16,4.79,47,28,3,56
E111,Karan,02-02-2024,7.86,70.66,60,50,283,33,17,4.04,24,46,17,72
E101,Rahul,20-02-2024,7.06,79.03,73,77,204,27,17,3.91,35,29,10,28
E100,Pooja,18-03-2024,8.52,85.08,63,111,168,39,15,3.06,16,50,3,18
E106,Pooja,12-01-2024,7.41,71.69,24,145,296,38,17,4.76,23,25,13,46
E106,Rahul,20-01-2024,8.94,84.73,46,127,337,33,8,3.03,20,19,17,61
E107,Karan,22-02-2024,7.9,97.81,62,74,308,26,14,4.89,1,37,7,66
E104,Rahul,28-03-2024,6.38,73.16,50,158,349,24,13,3.98,30,18,9,37
E102,Riya,12-02-2024,8.03,92.93,36,53,374,37,19,3.68,43,26,4,45
E111,Ananya,29-03-2024,6.98,82.29,73,158,355,21,7,4.85,32,24,6,73
E107,Sneha,19-02-2024,8.06,89.66,81,53,145,30,19,3.05,29,39,11,27
E105,Amit,29-01-2024,6.21,77.81,51,49,191,27,6,4.16,11,37,2,44
E110,Sneha,26-02-2024,6.52,74.78,59,51,380,20,13,4.1,43,51,3,77
E102,Karan,08-02-2024,8.57,74.81,32,77,373,31,13,3.44,11,22,9,48
E100,Rohit,25-02-2024,6.68,72.11,54,147,390,21,5,3.86,50,28,3,17
E102,Sneha,12-02-2024,8.51,75.57,24,158,242,37,10,4.3,56,14,14,24
E104,Pooja,19-02-2024,6.84,89.93,48,149,263,26,14,4.45,48,58,9,16
E102,Vikram,23-01-2024,7.93,96.45,89,73,376,36,12,3,51,2,15,26
E100,Amit,13-02-2024,8.08,94.42,44,80,263,33,7,4.87,23,9,14,73
E104,Arjun,07-02-2024,7.54,90.55,41,49,378,26,15,3.33,23,14,18,21
E109,Rohit,24-03-2024,6.92,73.31,85,56,166,22,13,3.47,57,55,19,65
E106,Karan,23-01-2024,6.64,78.68,64,56,132,25,6,3.53,59,15,18,55
E106,Amit,14-02-2024,6.1,79.29,88,106,327,39,10,3.08,10,16,17,56
E110,Sneha,21-02-2024,6.91,77.5,20,101,354,21,5,3.25,12,18,11,25
E108,Pooja,20-03-2024,7.96,85.45,63,134,268,36,17,4.97,26,10,15,78
E109,Neha,19-02-2024,8.81,86.07,58,154,274,31,11,3.63,7,47,0,11
E109,Ananya,08-01-2024,8.61,80.71,73,40,285,31,7,3.23,9,4,15,63
E111,Arjun,25-03-2024,8.3,80.61,48,51,209,36,11,3.21,7,4,1,36
E102,Rohit,01-01-2024,8.37,94.86,73,142,305,29,8,4.44,19,57,14,40
E106,Ananya,08-01-2024,7.99,93.68,35,43,293,22,13,4.71,7,13,6,50
E100,Amit,29-01-2024,6.78,79.23,39,81,336,39,9,3.51,8,49,0,45
E103,Pooja,05-01-2024,8.72,97.41,65,52,383,37,7,3.04,6,25,4,56
E103,Pooja,26-03-2024,8.01,98.58,86,137,216,32,19,3.45,13,7,9,52
E104,Sneha,16-02-2024,7.68,79.8,84,145,236,31,12,3.11,27,4,3,74
E106,Riya,03-02-2024,6.33,80.63,77,124,318,36,10,3.21,1,6,13,59
E106,Sneha,05-03-2024,7.34,85.17,72,125,140,23,6,3.86,56,15,12,10
E110,Riya,24-02-2024,7.38,98.23,20,43,319,29,7,3.46,42,54,0,66
E103,Riya,30-03-2024,8.59,96.29,85,121,367,30,12,4.03,7,13,15,25
E106,Arjun,12-02-2024,7.64,73.08,48,108,395,25,19,3.51,12,36,8,37
E110,Sneha,14-03-2024,7.14,81.78,89,58,383,25,14,4.88,20,55,15,31
E102,Simran,30-01-2024,8.93,86.6,27,41,177,28,11,4.81,46,40,18,50
E105,Neha,22-03-2024,6.33,85.09,48,51,150,34,14,4.13,27,3,14,28
E111,Rohit,17-01-2024,7.27,75.82,70,120,368,21,10,3.71,34,35,13,59
E101,Rahul,26-01-2024,6.13,95.76,52,113,212,23,18,3.76,22,47,19,68
E109,Rahul,08-01-2024,8.22,90.31,22,137,384,24,5,3.82,45,55,9,78
E108,Sneha,16-02-2024,8.75,95.14,79,45,390,36,13,4.46,14,16,11,43
E104,Sneha,16-03-2024,6.84,95.76,54,47,213,27,7,3.9,1,46,0,48
E105,Ananya,12-03-2024,8.58,92.45,88,90,273,27,18,4.71,50,35,16,16
E111,Rohit,29-03-2024,6.88,83.18,39,50,404,31,9,4.89,11,5,8,61
E111,Rohit,15-02-2024,8.73,88.32,58,102,199,27,11,3.67,56,15,18,69
E111,Arjun,08-03-2024,8.26,74.81,23,96,411,38,19,4.12,51,28,17,61
E111,Sneha,02-02-2024,8.41,90.21,38,51,203,22,11,3.19,35,35,6,33
E103,Rohit,01-01-2024,6.05,75.38,64,112,156,37,7,3.4,2,37,8,35
E110,Ananya,19-01-2024,8.89,90.82,62,41,351,38,19,3.83,4,36,11,19
E109,Riya,31-01-2024,8.18,76.89,32,47,212,38,8,3.41,2,47,6,26
E106,Pooja,20-03-2024,6.91,73.53,32,50,221,34,14,4.75,56,56,13,11
E111,Pooja,14-01-2024,8.49,74.96,79,92,285,25,11,3.32,46,47,14,36
E108,Riya,22-02-2024,6.84,70.06,76,139,278,35,12,3.91,18,9,14,57
E106,Karan,17-02-2024,8.62,91.56,71,49,133,27,6,4.21,1,40,5,18
E100,Ananya,09-03-2024,6.34,91.97,72,124,344,35,13,4.38,43,35,13,32
E100,Rohit,30-03-2024,8.11,85.45,62,123,192,37,11,3.77,36,28,1,36
E108,Simran,02-03-2024,7.62,74.84,61,151,368,39,17,4.74,53,13,7,52
E110,Ananya,06-03-2024,6.29,72.51,45,47,210,35,12,4.14,16,3,12,16
E108,Riya,04-03-2024,6.73,70.57,42,75,335,30,10,3.88,13,43,5,72
E103,Neha,10-03-2024,6.04,74.97,62,132,209,26,10,3.13,27,55,4,53
E108,Vikram,03-03-2024,7.41,96.73,47,145,148,36,13,3.93,26,41,4,48
E102,Amit,13-03-2024,6.9,77.25,28,115,339,36,8,4.64,53,35,0,49
E106,Riya,02-02-2024,7.8,80.63,39,53,334,31,15,4.23,9,49,8,16
E105,Simran,10-02-2024,6.89,73.16,75,151,340,32,15,4.66,2,44,5,79
E107,Rohit,29-03-2024,6.9,76.67,58,93,161,29,9,3.99,35,12,19,34
E110,Simran,17-02-2024,8.23,85.58,70,153,254,26,13,3.24,37,45,6,68
E108,Simran,13-01-2024,6.14,88.23,31,124,161,33,5,3.03,55,17,8,22
E104,Sneha,13-03-2024,8.71,77.36,74,125,283,20,8,3.61,24,32,4,71
E100,Sneha,17-03-2024,8.56,71.73,30,60,402,36,11,4.4,21,20,13,17
E102,Arjun,31-01-2024,8,81.73,45,147,177,23,15,4.58,47,15,4,54
E109,Riya,15-03-2024,7.78,77.03,61,89,144,24,19,3.59,38,14,7,27
E111,Arjun,08-03-2024,8.68,76.59,46,133,192,39,13,3.99,46,53,6,69
E107,Riya,04-01-2024,6.56,98.8,30,78,248,26,19,3.84,29,56,12,69
E110,Ananya,19-01-2024,6.24,88.49,57,59,206,29,18,3.82,20,4,12,11
E105,Amit,10-03-2024,6.72,86.71,62,127,272,36,17,3.46,29,5,7,75
E107,Simran,22-03-2024,8.38,82.47,38,126,301,26,15,3.27,27,37,10,23
E108,Ananya,13-01-2024,6.1,82.87,83,46,244,20,16,3.39,30,2,17,57
E103,Vikram,23-01-2024,7.75,86.23,25,48,186,26,17,3.11,56,47,18,65
E100,Pooja,23-03-2024,8.99,90.89,65,40,125,30,14,3.4,51,11,5,21
E100,Rahul,15-03-2024,8.57,91.06,61,65,244,28,10,3.02,25,35,1,64
E109,Riya,01-01-2024,7.56,75.15,84,77,172,31,16,4.25,42,32,12,37
E103,Vikram,28-03-2024,6.19,85,78,77,185,22,12,3.63,21,35,10,13
E111,Pooja,23-02-2024,8.49,82.36,71,157,201,23,17,4.95,20,32,0,45
E106,Rohit,11-03-2024,7.8,96.12,66,100,206,23,13,3.39,0,30,1,59
E101,Karan,29-03-2024,6.34,88.94,26,83,121,32,14,3.69,36,20,16,12
E102,Amit,25-03-2024,6.28,85.98,30,125,323,38,8,3.72,12,26,7,10
E100,Arjun,15-01-2024,8.73,73.46,80,83,269,29,5,3.02,20,26,1,26
E104,Arjun,05-03-2024,8.01,88.17,87,113,412,24,18,4.68,45,7,5,71
E100,Ananya,16-03-2024,8.49,73.52,44,158,222,26,12,3.06,8,55,4,57
E107,Sneha,11-03-2024,8.64,80.12,31,101,143,35,6,4.88,16,36,15,71
E100,Pooja,15-01-2024,7.72,74.29,45,45,331,20,15,4.78,46,31,7,78
E110,Karan,21-01-2024,7.55,90.76,31,56,184,31,5,4.07,20,25,18,28
E100,Vikram,19-01-2024,7.29,76.19,62,90,328,21,17,4.09,30,1,15,43
E101,Amit,29-02-2024,6.95,81.76,70,153,370,26,11,4.31,38,11,12,58
E101,Pooja,29-03-2024,7.3,96.87,56,77,236,30,16,3.77,58,21,19,56
E111,Karan,02-02-2024,8.32,76.13,65,63,235,32,14,4.29,53,16,6,59
E105,Rahul,18-02-2024,7.81,85.23,72,90,356,21,13,3.09,21,6,15,35
E106,Riya,04-02-2024,8.68,82.58,32,49,224,26,15,3.11,11,42,15,65
E104,Arjun,13-02-2024,7.33,70.54,73,159,378,34,19,3.91,54,3,11,23
E100,Vikram,30-03-2024,7.82,93.78,76,111,165,30,16,4.1,5,36,13,34
E100,Arjun,11-01-2024,7.89,72.07,23,60,335,21,16,4.78,52,37,17,13
E102,Vikram,12-03-2024,7.78,84.23,68,159,143,26,13,3.21,15,31,17,41
E101,Ananya,18-03-2024,8.11,86.82,26,109,154,23,7,4.65,25,10,15,74
E104,Sneha,14-03-2024,6.71,88.85,30,124,143,30,10,3.42,4,0,19,70
E111,Vikram,06-03-2024,7.54,90.66,73,96,147,21,11,3.79,8,24,15,29
E109,Arjun,15-02-2024,6.31,77.6,64,78,135,35,18,3.63,45,41,12,19
E105,Ananya,09-01-2024,7.15,70.3,42,127,178,26,14,3.8,39,51,8,43
E106,Vikram,03-01-2024,7.46,91.7,47,72,362,32,13,3.3,13,23,8,70
E103,Rahul,25-03-2024,7.96,86.07,76,98,326,24,19,4.01,43,52,12,36
E106,Sneha,26-01-2024,8.85,95.08,45,57,390,36,6,4.6,41,42,3,49
E110,Vikram,12-03-2024,7.8,94.64,44,95,368,31,12,3.88,29,55,8,74
E107,Ananya,17-02-2024,8.23,95.3,73,131,386,38,18,3.98,51,16,14,42
E110,Rohit,06-03-2024,7.52,84.55,48,96,312,26,11,4.7,51,7,13,77
E100,Pooja,10-03-2024,7.9,80.01,55,155,337,25,8,4.41,25,58,18,18
E105,Neha,28-01-2024,6.21,93.75,33,135,234,27,6,3.98,52,44,11,25
E107,Karan,26-01-2024,6.76,83.54,54,115,187,32,12,3.52,44,26,5,14
E104,Neha,25-01-2024,7.09,75.5,49,87,418,24,15,4.77,28,51,2,32
E103,Rohit,12-01-2024,7.42,95.65,36,81,194,21,9,4.15,18,17,19,52
E101,Neha,05-01-2024,6.14,96.48,86,66,222,28,10,3.44,46,26,15,66
E105,Rohit,17-02-2024,6.42,83.99,49,113,416,30,18,3.54,7,21,19,60
E105,Amit,06-02-2024,6.83,72.27,64,149,297,25,15,4.61,22,15,16,22
E110,Rohit,19-03-2024,8.91,81.63,70,91,334,26,11,3.09,52,1,15,33
E100,Rohit,13-02-2024,6.99,94.11,66,81,158,26,19,4.98,41,4,5,20
E108,Simran,15-01-2024,7.45,97.05,72,71,378,38,19,3.26,34,17,7,61
E111,Rohit,12-02-2024,6.59,76.1,83,145,323,25,14,4.59,30,2,18,26
E110,Rahul,17-02-2024,7.83,72.01,57,65,126,30,5,3.79,52,26,1,46
E105,Pooja,27-03-2024,6.84,96.32,83,64,168,30,12,3.98,34,53,13,22
E102,Riya,10-03-2024,6.62,81.68,26,114,145,26,8,4.76,31,16,11,71
E103,Vikram,15-02-2024,7.55,86.25,41,62,280,21,17,3.83,57,15,16,17
E111,Karan,12-02-2024,6.02,99.04,60,137,295,38,13,4.07,4,5,14,65
E110,Sneha,21-01-2024,6.02,72,29,96,198,23,5,3.1,15,50,17,79
E103,Pooja,23-01-2024,6.66,89.45,76,91,121,25,15,3,16,6,15,53
E102,Arjun,20-03-2024,6.11,72.22,26,143,251,36,6,3.49,31,49,12,69
E109,Riya,16-02-2024,6.32,81.26,69,126,395,24,18,4.36,37,13,16,50
E102,Amit,15-01-2024,7.02,94.11,71,132,236,26,10,3.24,57,37,7,30
E102,Amit,25-01-2024,8.41,83,52,70,283,28,15,3.23,31,39,0,51
E103,Rohit,05-02-2024,7.72,99.92,20,103,407,20,14,3.82,51,14,2,38
E106,Pooja,15-03-2024,7.54,86.77,72,110,147,20,15,4.3,19,46,15,74
E103,Ananya,20-02-2024,6.88,79.63,79,143,120,38,18,4.42,47,46,1,26
E108,Simran,15-01-2024,8.8,76.6,53,72,307,25,5,3.36,55,47,14,39
E100,Neha,08-03-2024,7.19,80.52,23,124,175,37,8,3.16,1,32,0,35
E107,Arjun,21-01-2024,6.26,81.18,36,41,154,29,12,4.88,19,42,8,62
E106,Amit,13-01-2024,7.85,72.06,23,57,231,30,19,3.52,46,26,15,28
E101,Karan,26-03-2024,6.34,81.09,62,86,405,20,14,4.71,17,28,3,62
E107,Amit,19-01-2024,7.04,83.93,23,72,155,20,9,4.73,0,56,11,26
E100,Sneha,03-02-2024,7.52,91.68,20,140,336,32,17,4.55,57,36,0,55
E110,Vikram,18-03-2024,8.62,89.7,69,137,199,24,13,3.34,28,4,0,62
E111,Amit,08-03-2024,7.48,91.26,80,123,202,39,15,4.64,28,28,6,73
E108,Sneha,21-02-2024,8.11,70.25,54,74,184,20,15,4.54,18,31,17,54
E108,Pooja,27-01-2024,8.98,76.53,27,90,247,39,10,4.19,43,59,14,58
E101,Pooja,29-01-2024,6.39,89.85,43,153,141,22,5,3.67,39,52,12,28
E106,Simran,28-01-2024,6.82,84.52,55,157,335,37,10,3.53,5,5,15,74
E109,Riya,04-02-2024,7.18,70.16,69,57,226,28,10,3.24,43,1,6,46
E102,Amit,08-01-2024,7.27,94.13,62,149,228,33,17,4.02,38,5,15,79
E106,Karan,16-01-2024,7.23,93.18,46,127,300,36,10,4.17,49,45,12,35
E111,Amit,05-02-2024,8.72,86.45,51,111,283,33,12,3.72,53,42,13,11
E109,Karan,30-01-2024,8.14,71.99,37,69,187,23,19,3.95,45,3,16,68
E108,Rahul,18-01-2024,7.82,93,47,83,411,24,10,3.73,7,55,11,14
E103,Rohit,02-01-2024,6.93,87.51,48,92,299,36,9,4.28,23,28,19,46
E111,Riya,18-02-2024,8.47,93.46,35,49,300,21,19,4.8,19,58,12,40
E100,Rahul,17-03-2024,8.87,92.55,66,126,288,24,15,3.33,53,24,19,57
E101,Amit,04-01-2024,8.46,94.09,78,91,141,23,6,3.76,13,8,14,15
E100,Riya,30-03-2024,6,85.54,50,88,185,23,8,3.28,4,55,3,24
E111,Rahul,29-03-2024,7.91,74.21,23,50,140,25,18,4.25,40,2,1,24
E104,Neha,15-03-2024,6.15,90.13,56,105,219,39,19,4.46,39,25,17,70
E104,Amit,07-01-2024,6.77,88.61,36,97,419,32,14,4.86,33,47,1,25
E110,Rahul,14-03-2024,6.18,92.27,58,129,222,24,9,3.56,59,42,14,29
E106,Neha,08-02-2024,7.81,75.1,67,75,166,26,14,4.9,15,26,18,53
E108,Neha,13-01-2024,8.06,75.85,65,72,158,39,8,3.13,44,35,14,51
E108,Pooja,31-01-2024,6.34,96.71,67,86,404,20,6,4.21,6,31,19,55
E102,Simran,11-03-2024,7.15,92.5,58,52,209,33,11,3.11,15,0,9,43
E102,Amit,03-03-2024,7.37,97.25,23,79,204,23,14,4.79,6,56,19,73
E102,Neha,25-02-2024,7.11,92.76,49,128,392,36,14,4.06,26,52,10,38
E103,Pooja,11-02-2024,6.36,87.91,49,107,307,33,6,4.34,13,53,9,12
E107,Rahul,01-03-2024,7.26,89.62,41,81,278,35,5,4.66,13,15,4,18
E105,Sneha,11-02-2024,8.25,96.67,85,58,362,33,18,3.3,43,50,8,34
E107,Amit,25-02-2024,6.21,87.36,31,121,192,35,9,3.08,32,47,19,51
E100,Riya,05-02-2024,6.24,88.97,55,140,168,39,16,4.76,32,10,18,55
E107,Karan,24-03-2024,7.06,74.69,37,133,220,27,17,3.63,43,25,12,68
E103,Karan,08-03-2024,8.83,84.22,72,58,121,22,5,3.26,19,39,17,30
